商品ID,商品名,種別,容量,価格(円/税込),価格の確度,推奨スラッグ,産地国,地区・農園,標高,品種,精製方法,焙煎度(1-5),フレーバーノート1,フレーバーノート2,フレーバーノート3,酸味(1-5),苦味(1-5),コク(1-5),おすすめ抽出
8,ふかいりブレンド,ブレンド,200g,1800,検索結果より,fukairi-blend,ブレンド,-,-,-,-,5,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】
10,ももぞのブレンド,ブレンド,200g,1800,検索結果より,momozono-blend,ブレンド,-,-,-,-,3,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】
11,カフェインレス／メキシコ トリウンフォ・ベルデ,カフェインレス,200g,2000,検索結果より,decaf-mexico-triunfo-verde,メキシコ,トリウンフォ・ベルデ,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】
12,ケニア／キリニャガ カムワンギ・ファクトリー,シングルオリジン,200g,2200,検索結果より,kenya-kirinyaga-kamwangi,ケニア,キリニャガ カムワンギ・ファクトリー,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】
15,イタリアンブレンド,ブレンド,200g,1900,検索結果より,italian-blend,ブレンド,-,-,-,-,5,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】
17,ホンジュラス／チャギテ IH-90,シングルオリジン,200g,1700,検索結果より,honduras-chaguite-ih90,ホンジュラス,チャギテ,【要記入】,IH-90,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】
20,タンザニア／ハイツ農園 ブルーリボンAA,シングルオリジン,200g,1950,検索結果より,tanzania-heights-blue-ribbon-aa,タンザニア,ハイツ農園,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】
34,エチオピア／ファロ,シングルオリジン,200g,1850,検索結果より,ethiopia-faro,エチオピア,ファロ,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】
37,エチオピア／ゴロ・ペデッサ ナチュラル,シングルオリジン,200g,【要記入】,未取得,ethiopia-goro-bedessa-natural,エチオピア,ゴロ・ペデッサ,【要記入】,【要記入】,ナチュラル,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】
41,ホンジュラス／サンミゲル・デ・セルグァパ,シングルオリジン,200g,2100,検索結果より,honduras-san-miguel-de-cerguapa,ホンジュラス,サンミゲル・デ・セルグァパ,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】
55,グアテマラ／ウエウエテナンゴ サンタバルバラ,シングルオリジン,200g,1900,検索結果より,guatemala-huehuetenango-santa-barbara,グアテマラ,ウエウエテナンゴ サンタバルバラ,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】
未確認,なかなかブレンド,ブレンド,200g,1400,検索結果より(要確認),nakanaka-blend,ブレンド,-,-,-,-,3,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】
未確認,ルワンダ・コアカカ ムガンザ,シングルオリジン,200g,【要記入】,News記事で確認,rwanda-koakaka-muganza,ルワンダ,コアカカ ムガンザ,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】,【要記入】
新規提案,はじめてのMUTO(飲み比べ),セット,100g×3,2400,提案,starter-set,ブレンド3種,-,-,-,-,-,-,-,-,-,-,-,-
新規提案,世界を巡る(飲み比べ),セット,100g×3,2800,提案,origin-set,シングルオリジン3種,-,-,-,-,-,-,-,-,-,-,-,-
新規提案,焙煎度で選ぶ(飲み比べ),セット,100g×3,2600,提案,roast-level-set,浅・中・深,-,-,-,-,-,-,-,-,-,-,-,-
