区分,品目,参考価格(円),確度,備考
ホットコーヒー,ももぞのブレンド,580,第三者媒体より(要確認),媒体により500円の記載もあり
ホットコーヒー,なかなかブレンド,580,第三者媒体より(要確認),媒体により500円の記載もあり
ホットコーヒー,ふかいりブレンド,580,第三者媒体より(要確認),媒体により500円の記載もあり。備長炭でスモークとの記述あり
ホットコーヒー,イタリアンブレンド,550,第三者媒体より(要確認),
ホットコーヒー,フローレンシア,600,第三者媒体より(要確認),
ホットコーヒー,シングルオリジン(日替わり),【要記入】,未取得,豆の在庫による
スイーツ,ベイクドチーズケーキ,450,第三者媒体より(要確認),ドリンクとセットで+400円との記載あり
スイーツ,ガトーショコラ,450,第三者媒体より(要確認),ドリンクとセットで+400円との記載あり
スイーツ,オレンジのパウンドケーキ,【要記入】,News記事で確認,提供状況の確認が必要
アイス,アイスコーヒー,【要記入】,テイクアウトで提供の記述あり,
アイス,ミルクコーヒー,【要記入】,テイクアウトで提供の記述あり,
豆販売,量り売り(店頭),【要記入】,店頭で量り売りとの記述あり,100g単位かの確認が必要
